title,abstract,year,venue,journal,authors,doi,url,referenceCount,citationCount,influentialCitationCount,fieldsOfStudy,s2FieldsOfStudy,isOpenAccess,openAccessPdf,publicationTypes,publicationDate,on_risk,on_rural
"Health shocks, medical insurance and household vulnerability: Evidence from South Africa","Background South Africa has a dual system of healthcare model differentiated across socio-economic lines. While on the one hand there exists high quality private facilities that is expensive and accessible to the minority, on the other is the free but stretched and over-crowded public healthcare that the rest of the population relies on. Accessing private facilities requires private medical insurance or requires coping strategies that can lead to household vulnerability. Objective The objective of this study is to analyse the relationship between health shocks and household vulnerability in the South African context of high poverty and low medical insurance penetration rate. Data The study employs data from waves three to five of South Africa’s nationally representative National Income Dynamics Study (NIDS) conducted between the period 2012–2017 in approximately two-year intervals. Methods Using food expenditure shock as an indicator for vulnerability, the study utilises a range of econometric techniques from panel logit regression to quasi-experimental design based difference in difference regressions to assess the association between health shocks, medical insurance and household vulnerability. Findings The main finding of the study is that a significant proportion of households in the upper income quintile utilise private healthcare even when not covered by private medical insurance. This preference for private over public health facilities make them vulnerable to health shocks as they cope by sacrificing food consumption to incur additional health expenditure. In contrast, lower income households that are unable to access the high-cost private healthcare tend to rely on the strained public healthcare system. They are not able to use their constrained food expenditure as a coping strategy for private or out-of-pocket medical expenses because their food consumption is already at a bare minimum. Conclusion The results confirm that access to quality healthcare is a privilege in South Africa, available only to the minority of the population. The study paints a grim picture of household vulnerability in South Africa and underlines the need for a National Health Insurance that would enable universal access to quality healthcare in the country.",2020.0,PLoS ONE,PLoS ONE,"Pheeha Morudu, Umakrishnan Kollamparambil",10.1371/journal.pone.0228034.r001,https://www.semanticscholar.org/paper/94bed3f4a9bb15c523006fc88bff1af18d44085f,61.0,20.0,0.0,"['Medicine', 'Business']","[{'category': 'Medicine', 'source': 'external'}, {'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}]",True,https://storage.googleapis.com/plos-corpus-prod/10.1371/journal.pone.0228034/1/pone.0228034.pdf?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=wombat-sa%40plos-prod.iam.gserviceaccount.com%2F20210218%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20210218T134915Z&X-Goog-Expires=3600&X-Goog-SignedHeaders=host&X-Goog-Signature=674152afbfb2ef0322a5b413ab47aca23c529b30511f490470b5b159a8ee9627f706eabc9f9cd1fa01c859f2f0a07016a1c0584097702d42794c01849c27af7d63924783fedf3142e4334f3662ea75b67e3858e54873125c046f93b49084f0c339cafc0ef93498b0b60096cffc345be8a2781ff7c2eacf7f074692bb33968a9a8682e9f1991ddf064f0dacec5f27c6653fb7a4dc368a8c3312d3b12ad7c82c7dfc02d5e82c72db2b33370ed3ecdb6e61229e1a203db8f660e44e500902d2010b76395788faa96b01c045acee08a2b655e6b61e12905282759305ea2f13467a7f4ae13687c5d60d4e48dd230c909ebf8c4433842e1cb2c721dd31c8aff01cf7b7,['JournalArticle'],2020-02-07,True,True
Household Inequality and Risk Sharing in Australia,"ABSTRACT This study presents estimates of multidimensional household inequality in Australia from 2001 to 2017. Earnings inequality declines through the sample, while disposable income, non-durable consumption expenditures, food expenditures and net worth inequality exhibit relatively flat trends. The relatively flat trend for non-durable expenditures inequality, even over the life cycle, suggests households insure consumption against idiosyncratic shocks. Standard regression estimates of consumption growth against income shocks confirm this finding. Quantile regression estimates indicate households experiencing negative (positive) consumption growth have more sensitivity to negative (positive) income shocks than households with positive (negative) consumption growth, but coefficient estimates have small magnitudes, confirming standard tests.",2019.0,Global Economics Review,Global Economic Review,"Youjin Hahn, Stephen Matteo Miller, Hee-Seung Yang",10.1080/1226508X.2020.1862692,https://www.semanticscholar.org/paper/7a1b556d26e75ae0385029bc2ad1a4a3e9a66c14,60.0,1.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,,2019-12-28,True,True
"Regional Migration, Insurance and Economic Shocks: Evidence from Nicaragua","Abstract In developing countries most migrants are internal migrants, yet there is limited evidence to show whether internal migrants represent a source of insurance to the original household or vice versa. I test the insurance role of transfers sent and received by young migrants by estimating the causal impact of income shocks in the migrants’ locations of origin and destination on inter-household transfers. Rainfall shocks are found to lead to changes in income but not in consumption, indicating that households are able to smooth consumption. I find that young migrants provide insurance to their original households and that the level of insurance increases when migrants and households are exposed to low correlated rainfall shocks. This article shows evidence of bilateral insurance between rural migrants and their original households when the differences in the intensity of the shocks increase. These results provide new evidence of risk-sharing strategies among households geographically spread around a country.",2019.0,Journal of Development Studies,The Journal of Development Studies,T. Millán,10.1080/00220388.2019.1703956,https://www.semanticscholar.org/paper/7ba49d8fceb4e79fe377059fad9de8e614ad9923,59.0,15.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://run.unl.pt/bitstream/10362/93759/1/revision_20191111_TMolinaMillan.pdf,,2019-12-19,True,True
Mitigating risk for floodplain agriculture in Amazonia: a role for index-based flood insurance,"ABSTRACT The fertile floodplain of the Amazon river offers considerable potential for agriculture, yet it is a risk-filled environment with heightened vulnerability due to climate change. The annual flood pulse deposits nutrient-rich sediment on the floodplain enabling increased agricultural productivity during the low water season. However, crops growing on the floodplain are at high risk of loss due to flood dynamics. Drawing on data from household surveys (n = 83), focus group discussions, and key informant interviews, this study assesses potential flood risk mitigation tools for floodplain rice farmers along the Amazon river near Iquitos, Peru. Farmers’ risk mitigation preferences are explored through willingness to pay (WTP) methods for flood-tolerant rice varieties, river information services, and index-based flood insurance. Results indicate that measured ambiguity aversion is a key driver in the decision to mitigate flood risk. The study suggests that the environmental risk context may be appropriate for an index-based flood insurance product, and farmers and local institutions see the promise of flood insurance. With climate change scenarios predicting greater variability in the flood regime, mitigating flood risk is paramount to reducing the vulnerabilities and unlocking opportunities for floodplain farmers in Amazonia.",2019.0,Climate and Development,Climate and Development,"G. List, Sonia Laszlo, O. Coomes",10.1080/17565529.2019.1674125,https://www.semanticscholar.org/paper/b73d48b664eb813f5b831e14b158d239d868d486,110.0,10.0,0.0,['Geography'],"[{'category': 'Geography', 'source': 'external'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",False,,['Review'],2019-10-10,True,True
The Demand for Health Insurance in a Poor Economy: Evidence from Burkina Faso,"We investigate the properties of health insurance demand in Burkina Faso, where we offered poor households a voluntary health insurance product at half the usual price. The targeting procedure we implemented delivers a fuzzy regression discontinuity design, which identifies the price elasticity of demand for health insurance as well as associated selection effects. We find large price elasticities among urban households, whereas the demand of rural households is price inelastic. There are important selection effects, with widowed male household heads being most price sensitive. Correlating these heterogeneous effects with survey data on informal transfers and health expenditures, our results suggest that informal risk sharing largely crowds out formal insurance and that a single insurance product may fail to align with poor households’ small health budgets. We find no adverse selection into health insurance.",2019.0,Economic development and cultural change,Economic Development and Cultural Change,"Michael Hillebrecht, Stefan Klonner, R. Sauerborn, A. Sié, A. Souares",10.1086/706341,https://www.semanticscholar.org/paper/718ab5b6400e88ba281180ef006d4e03018ca7b6,59.0,2.0,1.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}]",True,http://archiv.ub.uni-heidelberg.de/volltextserver/24531/1/Schleicher%2C%20Klonner%20et%20al.pdf,['Review'],2019-09-18,True,True
The Social Value of Health Insurance Results from Ghana,"This paper uses the roll-out of the national health insurance in Ghana to assess the cushioning effect of coverage on the financial consequences of health shocks and resulting changes in coping behaviors. The analysis finds a strong reduction in medical expenditures, preventing households from cutting non-food consumption and causing a decrease in the volume of received remittances as well as the labor supply of healthy adult household members. Moreover, the paper presents evidence that the insurance scheme reduced the likelihood that households experiencing a health shock pulled their children out of school to put them to work. Avoidance of such costly coping mechanisms is potentially an important part of the social value of formal health insurance.",2019.0,,,"S. G. Mandico, A. Reichert, Christoph Strupat",10.1596/1813-9450-9004,https://www.semanticscholar.org/paper/a6578360f9d734f0b18a73c83b5de38fc749012d,43.0,5.0,1.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}]",True,https://repub.eur.nl/pub/133999/Repub_133999_O-A.pdf,,2019-09-11,True,True
A behavioral decomposition of willingness to pay for health insurance,"Despite widespread exposure to substantial medical expenditure risk in low-income populations, health insurance enrollment is typically low. This is puzzling from the perspective of expected utility theory. To help explain it, this paper introduces a decomposition of the stated willingness to pay (WTP) for insurance into its fair price and three behavioral deviations from that price due to risk perception and risk attitude consistent with prospect theory, plus a residual. To apply this approach, we elicit WTP, subjective distributions of medical expenditures and risk attitude (utility curvature and probability weighting) from Filipino households in a nationwide survey. We find that the mean stated WTP of the uninsured is less than both the actuarially fair price and the subsidized price at which public insurance is offered. This is not explained by downwardly biased beliefs: both the mean and the median subjective expectation are greater than the subsidized price. Convex utility in the domain of losses pushes mean WTP below the fair price and the subsidized price, and the transformation of probabilities into decision weights depresses the mean further, at least using one of two specific decompositions. WTP is reduced further by factors other than risk perception and attitude.",2019.0,Social Science Research Network,Journal of Risk and Uncertainty,"A. Baillon, Aleli D. Kraft, O. O’Donnell, K. van Wilgenburg",10.2139/ssrn.3488634,https://www.semanticscholar.org/paper/ea39678cc4702052ea17628c1ca7a818d0a32333,83.0,2.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}]",True,https://pure.eur.nl/files/78198664/s11166_022_09371_2.pdf,['Review'],2019-09-06,True,True
Post-Adversities Recovery and Profitability: The Case of Italian Farmers,"Insurance represents one of the main instruments, together with other risk management mechanisms, to face the adverse effects produced by natural calamity that, despite their growing intensity and the enormous costs, are still perceived as “exceptional”. Risk management is an important part of farming, and it is a concern for those governments which aim at achieving their agricultural policy targets. In this context, crop insurance can also represent a financial mitigation tool for farmers to face climate change consequences. This study is focused on the Italian case analyzing the evolution of public support and its effect on risk management policy in agriculture. Our research, based on panel data regressions, provides two different levels of analysis. The first one evaluates how the reimbursed value issued by insurance companies in favor of agricultural firms, as recovery from natural adversities, affects farmers’ profitability. The second one evaluates how the reimbursed value is used in farm management. The results of the analysis demonstrating the significance of insurance variables and their positive effect on the profitability of the farms, represent a strong advance in the farm risk management field",2019.0,International Journal of Environmental Research and Public Health,International Journal of Environmental Research and Public Health,"Donatella Porrini, Giulio Fusco, P. Miglietta",10.3390/ijerph16173189,https://www.semanticscholar.org/paper/54448d0b273cc3a2840aa2b4d40112e1df28a3cc,59.0,16.0,0.0,"['Medicine', 'Business']","[{'category': 'Medicine', 'source': 'external'}, {'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,https://www.mdpi.com/1660-4601/16/17/3189/pdf?version=1567323133,['JournalArticle'],2019-09-01,True,True
Social Capital and Household Welfare: A Review of Contemporary Empirical Literature,"Most studies on social capital especially in Africa, have adopted econometric models in explaining its role in the different developmental paths of societies with similar endowments. From a historical perspective, relying on aggregative national survey data on social welfare, ‘wellbeing’, ‘national happiness index’ to an examination using increasingly structured proximate measures of formal community organisational activities, in particular, membership participation and benefits and their impact on the rural household welfare, almost to the exclusion of informal social capital. Although the influence of technology, especially with the increasing penetration, access and massive impact of the social media have stimulated further research interest in social capital, particularly in Europe and America, econometric modeling and analytical techniques still dominates, while most African researchers have been more interested in how formal social capital impact the welfare of the poor rural farming households as a way to develop rural communities. This paper argues, following an extensive review of the literature that the fixation with ‘econometric analysis’ and ‘formal social capital’, presents only a partial view it does not explain the significant role of informal social capital resources that inhere in informal, yet durable social networks and relations that characterise the community social structure and are encapsulated in its social history. The paper further opines that greater attention should be given to the role of informal social capital in rural household welfare enhancement towards creating a structured role for kinship based groups in the development process, stripping them of the ‘negative’, ‘anti-development’ toga and optimise their potential capacity for mobilisation of rural poor households for active participation in the design and implementation of pro-poor policies and schemes. It would also help redirect research efforts and provide the much-needed evidence for realistic policies especially on ‘bottom-up’, community participatory implementation strategy for developing rural communities. Keywords: Social capital research, formal social capital, informal networks and relations, community social structure, social history, community development THE INTERNATIONAL JOURNAL OF HUMANITIES & SOCIAL STUDIES ISSN 2321 9203 www.theijhss.com 265 Vol 7 Issue 8 DOI No.: 10.24940/theijhss/2019/v7/i8/HS1908-075 August, 2019 The rest of the paper is divided into three parts: a brief overview of the evolution and definitional issues around social capital, the contemporary methodological and conceptual issues and thegaps that researchers have unwittingly created in their skewed attention and quest to theorizeand model some aspects of social capital. The rationale is to justifythe need for a new perspective, against the background of the contemporaneous nature of factors in the development process and the search for a sustainable development strategy evident in the SDGs project targets (UNDP, 2016). 2. Development of the Concept of Social Capital The concept ‘social capital’ can be traced back to the history of socioeconomic thought, especially in the works of Durkheim, Marx and De Tocqueville (Halpern, 2005, Putnam, 2001). As Portes (1998) argued, the concept behind social capital is nothing new in sociological terms, considering Durkheim’s emphasis on being connected in a community as an ‘antidote to anomie and self-destruction’. Hanifan (1916, 1920), used it to describe those ‘tangible assets that count for most in daily lives of people...I make no reference to the usual acceptation of the term capital, except in a figurative sense. I do not refer to real estate, or to personal property or to cold cash, but rather to that in life, which tends to make these tangible substances count for most in the daily lives of a people, namely, goodwill, fellowship, mutual sympathy and social intercourse among a group of individuals and families who make up a social unit, the rural community...’ (Hanifan, 1916: 130). The basic idea of ‘social capital’ is that one’s family, friends, and associates, membership of groups/networks, (by birth or admission) constitute an important asset, that can be called upon in a crisis, enjoyed for its own sake, and/or leveraged for material gain (Woolcock & Narayan, 2002). It is about the norms, obligations, communal values, rules and trust embedded in both formal and informal (but durable) networks and social relations – the totality of a community’s social structure and institutional arrangements – that enable its members to pursue and achieve their individual and or collective goals through which their welfare is enhanced and yet communal and community life is preserved. As noted by the World Bank (2000) ‘social norms and networks are a key form of capital that people can use to move out of poverty’. The nature of their informal and or civic engagements may be determined by their immediate need or situation, personal or collective interest and or circumstances of social history, ethnic antecedents or sentiments, which define how the perceived membership or indigene benefits and privileges built during interactions that occur for several reasons, are appropriated (Durston, 1999, 2004, Levien, 2015, Onyemenam, 2017). Most studies have been influenced by this approach to the conceptualization and characterization of social capital. Efforts of recent researchers have also been influenced by definitions of social capital proffered by scholars from various disciplinary backgrounds and perspectives. For example, while Portes (1998), defined social capital as ‘the ability of actors to secure benefits by virtue of membership in social networks or other social structures’, Loury (1976), espoused the view that‘...an individual’s social origin has an obvious and important effect on the amount of resources, which are ultimately invested in his development ...concept of ‘social capital’ to represent the consequences of social position in facilitating individual acquisition ...this idea has the advantage of forcing the analyst to consider the extent to which individual earnings are accounted for by social forces outside the individual’s control... (Loury, 1976: 46).Bourdieu (1986a:249) posited three categories of ‘capital including social which he defined as ‘...the aggregate of the actual or potential resources which are linked to possession of a durable network of more or less institutionalised relationships of mutual acquaintance and recognition or in other words to membership in a group which provides each of its members with the backing of the collectively-owned capital, a credential which entitles them to ‘credit’ in the various senses of the word...’ while Woolcock (1998) defined it as ‘...the social relationships that give rise to the outcomes of trust, reciprocity, and social norms, which facilitate collective action and may be of two types: community social relationships, and institutional/governmental relationships(Woolcock, 1998: 108). Central to the concept of social capital are the connections among individuals in terms of social network, reciprocity and trust that arise from them and the network and relationships represented in societies’ institutions and groups. Researchers seem to accept the view that both webs of networks and social relations (formal and/or informal) provide the context ‘social milieu’ within which social capital, though not tangible, can be built, appropriated and/or experienced in a consequential manner by an individual, or family/household and by extension, the community or State. In this sense, most studies have perceived social capital as capturing the idea of social norms, networks, trust, shared values, spiritual wellbeing, social status, prestige, honour, social identity, belonging andsocial bonding, which are considered to be significant aspects of the community's social structure and social history(Narayan, 1997, Osia, 2012). Earlier studies validated the notion thatall networks and social relations embodying social capital have a certain level of trust, which can be smaller or larger than members of the group, and which determines the extent to which people are willing to invest or divest themselves in social relationships with one another. Increased attention on formal, organizational features have led to a neglect of the unique ‘trust level’ in informal networks and kinship groups. However, the idea that high stocks of trust invariably lead to higher levels of social capital that in turn, promotes the emergence of denser social networks and progressively stronger norms of reciprocity have been validated by researchers ((Fukuyama, 1999, Serageldin & Grootaert, 2000, Serageldin, 1996). In the literature, contemporary definitions of social capital have been influenced by the works of different developers, like Loury (1976, 1981), Bourdieu (1986b), Coleman (1988, 1990) and Putnam (1993b) among others. Coleman (1990) conceived of social capital as a tool for explaining how social organisations affect the actions of individuals under the assumptions of a rational-choice theory, (following from Loury (1981). His construct of the individual-level theory of action is, which is premised on the notion that all social systems (of norms, trust, authority and THE INTERNATIONAL JOURNAL OF HUMANITIES & SOCIAL STUDIES ISSN 2321 9203 www.theijhss.com 266 Vol 7 Issue 8 DOI No.: 10.24940/theijhss/2019/v7/i8/HS1908-075 August, 2019 exchange) arise from the interactions between individuals who engage with each other in a purposive manner to obtain those resources they lack which are of interest to them fuelled significant research interest in the analysis of ‘levels of participation in groups and associations. This ‘social context’ or the resultant ‘social milieu’ is seen as important because it impacts the actions of the individual, either in terms of cost-benefit or facilitating t",2019.0,The International Journal of Humanities & Social Studies,The International Journal of  Humanities & Social Studies,Chris E Onyemenam,10.24940/theijhss/2019/v7/i8/hs1908-075,https://www.semanticscholar.org/paper/3e281869d81aad0dfe7e88ed40b2863191cd580d,153.0,0.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,http://www.internationaljournalcorner.com/index.php/theijhss/article/download/147691/103464,['Review'],2019-08-31,True,True
Insurance and Propagation in Village Networks,"We study the dual role of networks in providing insurance and in propagating idiosyncratic shocks by using variation in the timing of severe shocks on health spending experienced by households in Thai villages. We find no impacts on food consumption. Smoothing is largely achieved through local gift and loan networks. However, insurance is partial for some households so they adjust their production decisions-drawing on their working capital, cutting input spending, and reducing labor hiring, hence propagating the shocks to other households. We find that upstream businesses close to the underinsured households in the supply chain network experience reduced local sales and increased inventories. Likewise, workers closer to the underinsured households in the labor network experience declined probability of working locally and reduced earnings. We find evidence of ex-post adjustments of these upstream households through shifting resources towards activities with lower exposure to local shocks. Our results suggest that social (village-level) gains of expanding health insurance might be higher than private (household-level) gains.",2019.0,Social Science Research Network,SSRN Electronic Journal,"Cynthia Kinnan, Krislert Samphantharak, R. Townsend, Diego A. Vera-Cossio",10.18235/0001846,https://www.semanticscholar.org/paper/d1854107a390995138b76c8ab86cae304a9a44e9,55.0,7.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://doi.org/10.3386/w28089,,2019-08-01,True,True
Interaction between Crop Insurance and Technology Adoption Decisions: The Case of Wheat Farmers in Chile,"This paper examines relationships between crop insurance and input technology decisions among Chilean wheat farmers. Using nationwide farm&#8208;level data, a bivariate probit model is estimated. We investigate the extent to which the adoption of production input technologies is associated with farmers&#8217; participation in the insurance program. We find that relationships between insurance and technology decisions are significant only for family farmers. In particular, there is a negative relationship between participation in the insurance program and the adoption of modern irrigation. Interpretations based on the role of input technologies on insurance adoption and adverse selection behaviours are discussed.",2019.0,Australian Journal of Agricultural and Resource Economics,SRPN: Other Sustainable Technology (Topic),"C. Salazar, Marcela Jaime, Cristian F. Pinto, A. Acuna",10.1111/1467-8489.12307,https://www.semanticscholar.org/paper/a89607e4d9bf7a58f8f7c46d1778aefee5b415c0,67.0,27.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://ageconsearch.umn.edu/record/333791/files/ajar12307.pdf,,2019-07-01,True,True
"Access to Banking, Savings and Consumption Smoothing in Rural India","Access to formal banking is increasing across the world and may transform how people manage their finances. We report from a field experiment that randomly provides access to a bank account to a representative sample of villagers in rural India. The treated respondents save actively into the account and their individual savings increase. There is, however, no signi cant impact on mean household savings nor on average expenditures, income, loans or transfers. Based on weekly data from financial diaries, we show the control households partially smooth consumption through transfers received from others. The treated households smooth consumption (and nutrition) better than the control households, thanks to pro-cyclical saving on the account. The latter result provides an important new insight into the role of banking in low and middle-income countries.",2019.0,Social Science Research Network,SSRN Electronic Journal,"Vincent Somville, L. Vandewalle",10.2139/ssrn.4162439,https://www.semanticscholar.org/paper/0dadde799e870acce8924da6a75ff91f76e743c2,69.0,18.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,http://repec.graduateinstitute.ch/pdfs/Working_papers/HEIDWP09-2019.pdf,['JournalArticle'],2019-06-20,True,True
The household and individual-level productive impacts of cash transfer programs in Sub-Saharan Africa,"Silvio Daidone is a economist and Benjamin Davis is a Strategic Program Leader, both with the Food and Agriculture Organization of the United Nations, Rome, Italy. Sudhanshu Handa is a professor at the University of North Carolina at Chapel Hill. Paul Winters is the Associate Vice-President of the Strategy and Knowledge Department, International Fund for Agricultural Development, Rome, Italy. The research presented in this article has been carried out under the auspices of the “From Protection to Production” (PtoP) project, a collaborative effort of the United Nations Children’s Fund, the United Kingdom Department for International Development (DFID) and the Food and Agriculture Organization of the United Nations (FAO). The project has received funding from the DFID Research and Evidence Division, the European Union through the “Improved Global Governance for Hunger Reduction Programme”, and the FAO Regular Fund. The authors would like to thank the following: two anonymous reviewers and the journal editor, who have provided excellent comments and significantly contributed to the improvement of the article; Alejandro Grinspun, Fabio Veras Soares, and Marco Knowles for technical review of previous drafts; Ervin Prifti and Noemi Pace for their useful suggestions and comments. The authors are also grateful to participants at the following conferences and workshops: 2017 APPAM International Conference, Brussels; 2016 Transfer Project workshop, Addis Ababa; 2016 IFAD-3IE Designing and implementing high-quality, policy-relevant impact evaluations, Rome; 2015 SASPEN Conference on Social Protection, Johannesburg; 2015 Global Food Security Conference, Ithaca; 2014 IPEA International Seminar “Social protection, entrepreneurship and labor market activation - Evidence for better policies”, Brasilia; 2014 University of Florence, Department of Economics & Management Seminars, Florence; 2014 Africa Community of Practice (CoP) on Conditional Cash Transfers and Cash Transfers; 2014 African Union Expert Consultation on Children and Social Protection Systems, Cape Town; 2014 IDS Graduation and Social Protection Conference, Kigali. The authors would also like to remember Josh Dewbre, a founding member of the PtoP team, who passed away in April 2015, who had participated in the fieldwork and in the analysis of several programs included in this study. All mistakes and omissions are those of the authors",2019.0,American Journal of Agricultural Economics,American journal of agricultural economics,"S. Daidone, B. Davis, S. Handa, P. Winters",10.1093/ajae/aay113,https://www.semanticscholar.org/paper/e5c72c4f4bb497fabd3c144136b3985fdc46c6eb,98.0,83.0,7.0,"['Economics', 'Medicine']","[{'category': 'Economics', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1093/ajae/aay113,"['JournalArticle', 'Review']",2019-03-26,True,True
Can Secondary Jobs Smooth Consumption? Evidence from Unanticipated Wage Arrears,"This paper studies second jobs as self-insurance and consumption-smoothing devices for liquidity-constrained workers who face unanticipated wage arrears. Unlike the previous consumption-smoothing literature, emphasis is given to labor market shocks in emerging economies and to a new empirical strategy: labor supply responses are identified through unanticipated changes in wage payment and repayment behavior of Ukrainian firms. Unique longitudinal data on paid and outstanding salaries show that second jobs swiftly follow the life cycle of main job shocks so that individuals abandon their coping activity after repayment. Second jobs enable households to smooth consumption against 70% of income shocks.",2019.0,Economic development and cultural change,Economic Development and Cultural Change,A. Danzer,10.1086/698313,https://www.semanticscholar.org/paper/567d9dbe8b09a6f283585167d86b674eab692a0d,48.0,0.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,,2019-03-04,True,True
Sharing Risk to Avoid Tragedy: Informal Insurance and Irrigation in Village Economies,"I present a model of joint co-operation over irrigation and risk sharing in presence of limited commitment constraints. I estimate the framework to the setting of three village economies in rural India. The implied dynamics are validated by non-targeted empirical evidence and show that if access to irrigation can be regulated by villagers, the two institutions reinforce each other. However, if irrigation is non-excludable (as is the case with provision by central authorities), such investments harm local co-operation. Counterfactual experiments quantify mutual reinforcement between the two institutions and gains attainable by replacing the government-owned irrigation.",2019.0,Journal of Development Economics,ERN: Other Development Economics: Agriculture,K. Mazur,10.2139/ssrn.3326582,https://www.semanticscholar.org/paper/bc983e4f4127829c64e9d1d8f0af22dfeaa774dd,69.0,2.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",False,,,2019-01-31,True,True
Time versus State in Insurance: Experimental Evidence from Contract Farming in Kenya,"The gains from insurance arise from the transfer of income across states. Yet, by requiring that the premium be paid up front, standard insurance products also transfer income across time. We show that this intertemporal transfer can help explain low insurance demand, especially among the poor, and in a randomized control trial in Kenya we test a crop insurance product which removes it. The product is interlinked with a contract farming scheme: as with other inputs, the buyer of the crop offers the insurance and deducts the premium from farmer revenues at harvest time. The take-up rate for pay-at-harvest insurance is 72 percent, compared to 5 percent for the standard pay-up-front contract, and the difference is largest among poorer farmers. Additional experiments and outcomes provide evidence on the role of liquidity constraints, present bias, and counterparty risk, and find that enabling farmers to commit to pay the premium just 1 month later increases demand by 21 percentage points. (JEL G22, I32, O13, O16, Q12, Q14)",2018.0,The American Economic Review,American Economic Review,"L. Casaburi, Jack Willis",10.1257/AER.20171526,https://www.semanticscholar.org/paper/6ee380aa918b0c8c45d210b4fa947b07dfd36631,127.0,166.0,7.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",True,https://www.zora.uzh.ch/id/eprint/159985/1/Time_versus_State_Casaburi.pdf,,2018-11-29,True,True
'Dragon Boating' Alone? Community Ties and Systemic Income Shocks,"Can social capital effectively cushion households against adverse income shocks, especially in the absence of formal insurance mechanisms in developing countries? We analyze whether participation in formal and informal community activities (our measure of social capital) helped households in Indonesia mitigating the impact of the 1998 economic crisis. We use the 1997 and 2000 rounds of the Indonesian Family Life Survey (IFLS) to capture the impact of the crisis on household welfare and assess the potency of social capital as a safety net. In contrast to previous studies, our empirical results do not lend support to this hypothesis. Using an IV strategy, we find community participation not to be statistically significant in explaining changes in household expenditure. The large magnitude and universal nature of the shock might explain why social capital did not help households. However, we find some evidence that households who participated in such activities are more likely to have received financial assistance from local authorities without necessarily being the neediest ones.",2018.0,,ERN: Financial Crises (Monetary) (Topic),"Konstantinos Matakos, D. Minos, Ari A. Perdana, E. Radin",10.2139/ssrn.3292917,https://www.semanticscholar.org/paper/ca92714ccc95772c8193599311f02149fad5c232,35.0,0.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",False,,['Review'],2018-11-29,True,True
