title,abstract,year,venue,journal,authors,doi,url,referenceCount,citationCount,influentialCitationCount,fieldsOfStudy,s2FieldsOfStudy,isOpenAccess,openAccessPdf,publicationTypes,publicationDate,on_learning,on_rural,benchmark_comparison,distributional_effects,evidence_strength,mechanism_success,policy_implication,long_term_effects,narrative_tone
Salt-tolerant rice variety adoption in the Mekong River Delta: Farmer adaptation to sea-level rise,"Rice production in the Mekong River Delta of Vietnam (MRD) is endangered by sea-level rise and an associated increase in the incidence of salinity intrusion. This paper examines the diffusion of salt tolerant rice varieties in the MRD that were promoted through Consortium for Unfavorable Rice Environments (CURE) activities. Factors associated with adoption of CURE-related varieties are estimated using a random utilty model and a dataset of 800 farm households with rice fields in salinity prone areas of the MRD. Results suggest that there has been widespread adoption of CURE-related varieties in salinity-prone areas. Further, multivariate analysis reveals that environment and location characteristics, rather than household characteristics, are the most important determinants of adoption. In particular, CURE-related varieties are more likely to be adopted in high-salinity-risk areas that are not protected by salinity barrier gates. Neighbhors’ adoption decisions also strongly influence household decisions to adopt CURE-related varieties. The contracting of mechanization, particularly for land preparation and harvest, requires the coordination of village households in timing of planting, harvest and varietal duration. This coordination appears to extend to choice of CURE-related varieties. Finally, CURE-related varieties and other varieties generate similar net revenues in a year with low salinity exposure, suggesting that CURE-related varieties are a low-cost insurance policy against salinity inundation in high risk areas. Combined, these results highlight the need to address complex factors beyond current economic profits, like environment, community choices, and risk mitigation, when designing technologies and policies that support farmer adaptation to climatic change.",2020.0,PLoS ONE,PLoS ONE,"S. Paik, D. Le, L. Nhu, B. Mills",10.1371/journal.pone.0229464,https://www.semanticscholar.org/paper/cf1d229acdf0d0605ae24641ac9a745ea2909313,78.0,36.0,2.0,"['Geography', 'Medicine']","[{'category': 'Geography', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0229464&type=printable,['JournalArticle'],2020-03-16,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk mitigated through networks,suggests effective intervention,sustained over time,neutral
Does training location matter? Evidence from a randomized field experiment in Rural Indonesia,"Informal network helps disseminate agricultural knowledge in the rural area where formal extension is lacking. However, how the interplay between formal training and informal network promotes technology adoption is still under-studied. This paper aims to examine the effects of training locations upon knowledge and adoption of agricultural techniques via strengthened informal and formal social networks. We administer agricultural training of identical contents in farmers’ hometown and in more remote but advanced locations and arrange farmers to travel to the respective locations. Then, we examine locational heterogeneity effects upon conservation and plant-rehabilitation techniques, and social network variables with formal extension services, informal network, and between participants and non-participants. Only farmers trained in the most remote location increase the size and depth of social network with their peers, extension expert, and non-participants upon returning from training. These changes in social networks may encourage them to adopt the technology. While formal training is important for knowledge diffusion, informal network is the key for successful adoption, and these networks are strengthened via training held in the most remote location.",2020.0,,Agricultural and Food Economics,"Ayu Pratiwi, A. Suzuki",10.1186/s40100-019-0146-4,https://www.semanticscholar.org/paper/8b7fab956124a0a2087be75ad0a30b3a37f90f9f,66.0,10.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",True,https://agrifoodecon.springeropen.com/track/pdf/10.1186/s40100-019-0146-4,,2020-01-07,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk mitigated through networks,suggests partial intervention,sustained over time,optimistic
"Analysis, Estimation, and Validation of Discrete-Time Epidemic Processes","Models of spreading processes over nontrivial networks are commonly motivated by modeling and analysis of biological networks, computer networks, and human contact networks. However, learning the spread parameters of such models has not yet been explored in detail, and the models have not been validated by real data. In this paper, we present several different spread models from the literature and explore their relationships to each other; for one of these processes, we present a sufficient condition for asymptotic stability of the healthy equilibrium, show that the condition is necessary and sufficient for uniqueness of the healthy equilibrium, and present necessary and sufficient conditions for estimating the spread parameters. Finally, we employ two real data sets, one from John Snow’s seminal work on cholera epidemics in London in the 1850s and the other one from the United States Department of Agriculture, to validate an approximation of a well-studied network-dependent susceptible-infected-susceptible model.",2020.0,IEEE Transactions on Control Systems Technology,IEEE Transactions on Control Systems Technology,"Philip E. Paré, Ji Liu, Carolyn L. Beck, B. Kirwan, Tamer Başar",10.1109/TCST.2018.2869369,https://www.semanticscholar.org/paper/d4186f2672f3511b4ff8b77ee3c3866ad7916c60,36.0,28.0,4.0,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",True,https://ieeexplore.ieee.org/ielx7/87/8944320/08488684.pdf,['JournalArticle'],2020-01-01,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests partial intervention,sustained over time,neutral
Harvesting Prosperity: Technology and Productivity Growth in Agriculture,"This is the Preliminary Version for a book expected in November 2019. This book documents frontier knowledge on the drivers of agriculture productivity to derive pragmatic policy advice for governments and development partners on reducing poverty and boosting shared prosperity. The analysis describes global trends and long-term sources of total factor productivity growth, along with broad trends in partial factor productivity for land and labor, revisiting the question of scale economies in farming. Technology is central to growth in agricultural productivity, yet across many parts of the developing world, readily available technology is never taken up. We investigate demand-side constraints of the technology equation to analyze factors that might influence producers, particularly poor producers, to adopt modern technology. Agriculture and food systems are rapidly transforming, characterized by shifting food preferences, the rise and growing sophistication of value chains, the increasing globalization of agriculture, and the expanding role of the public and private sectors in bringing about efficient and more rapid productivity growth. In light of this transformation, the analysis focuses on the supply side of the technology equation, exploring how the enabling environment and regulations related to trade and intellectual property rights stimulate Research and Development to raise productivity. The book also discusses emerging developments in modern value chains that contribute to rising productivity. This book is the fourth volume of the World Bank Productivity Project, which seeks to bring frontier thinking on the measurement and determinants of productivity to global policy makers.",2019.0,,,"K. Fuglie, M. Gautam, A. Goyal, W. Maloney",10.1596/978-1-4648-1393-1,https://www.semanticscholar.org/paper/39e85a2248afcb1bdc2c61a250f2dad138c3f8f4,385.0,144.0,15.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://openknowledge.worldbank.org/bitstreams/3621191c-15f3-5ede-a89c-f7190d7e1dba/download,,2019-09-05,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests partial intervention,sustained over time,neutral
Learning adaptation to climate change from past climate extremes:,"Conservation agriculture-based wheat production system (CAW) can serve as an ex ante measure to minimize loss due to climate risks, especially the extreme rainfall during the wheat production season in India. This study aims to examine whether farmers learn from their past experiences of exposure to climate extremes and use the knowledge to better adapt to future climate extremes.,The authors used data collected from 184 farmers from Haryana over three consecutive wheat seasons from 2013-2014 to 2015-2016 and multivariate logit model to analyse the driver of the adoption of CAW as an ex ante climate risk mitigating strategies based on their learning and censored Tobit model to analyse the intensity of adoption of CAW as an ex ante climate risk mitigation strategy. Farmer’s knowledge and key barriers to the adoption of CAW were determined through focus group discussions.,The analysis shows that the majority of farmers who had applied CAW in the year 2014-2015 (a year with untimely excess rainfall during the wheat season) have continued to practice CAW and have increased the proportion of land area allocated to it. Many farmers shifted from CTW to CAW in 2015-2016.,While farmers now consider CAW as an ex ante measure to climate risks, a technology knowledge gap exists, which limits its adoption. Therefore, designing appropriate methods to communicate scientific evidence is crucial.,This paper uses three years panel data from 184 farm households in Haryana, India, together with focus groups discussions with farmers and interviews with key informants to assess if farmers learn adaptation to climate change from past climate extremes.",2019.0,,International Journal of Climate Change Strategies and Management,"J. Aryal, M. L. Jat, T. Sapkota, D. Rahut, Munmum Rai, H. Jat, P. C. Sharma, C. Stirling",10.1108/ijccsm-09-2018-0065,https://www.semanticscholar.org/paper/456d0510916242d2040022afe0be2e205a9cd146,64.0,16.0,0.0,"['Economics', 'Geography']","[{'category': 'Economics', 'source': 'external'}, {'category': 'Geography', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,https://doi.org/10.1108/ijccsm-09-2018-0065,,2019-08-12,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through institutions,suggests partial intervention,sustained over time,neutral
The effect of peer observation on consumption choices: evidence from a lab-in-field experiment,"ABSTRACT We investigate the impact of peer observation on consumption decisions using a lab-in-field experiment. Respondents make consumption decisions either alone or under peer observation. We find evidence for peer effects. We are able to study these further by looking into the mechanism and performing detailed heterogeneity analysis. Concerning the mechanisms, we find evidence for an information channel. Further, we show that the consumption choice is influenced by how many people made the same decision previously, but not by who those people are, hence finding evidence of a psychological channel. Respondents with higher cognitive ability are less susceptible to peer effects, while people living in small villages are more susceptible.",2019.0,Applied Economics,Applied Economics,"Antonia Grohmann, Sahra Sakha",10.1080/00036846.2019.1638499,https://www.semanticscholar.org/paper/36a099a5e7da086092745647d1cdb27066b0de79,46.0,8.0,0.0,"['Economics', 'Psychology']","[{'category': 'Economics', 'source': 'external'}, {'category': 'Psychology', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://www.tandfonline.com/doi/pdf/10.1080/00036846.2019.1638499?needAccess=true,,2019-08-04,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests partial intervention,sustained over time,neutral
"Can women's self‐help groups improve access to information, decision‐making, and agricultural practices? The Indian case","Abstract Effective agricultural extension is key to improving productivity, increasing farmers’ access to information, and promoting more diverse sets of crops and improved methods of cultivation. In India, however, the coverage of agricultural extension workers and the relevance of extension advice is poor. We investigate whether a women's self‐help group (SHG) platform could be an effective way of improving access to information, women's empowerment in agriculture, agricultural practices, and production diversity. We use cross‐sectional data on close to 1,000 women from five states in India and employ nearest‐neighbor matching models to match SHG and non‐SHG women along a range of observed characteristics. We find that participation in an SHG increases women's access to information and their participation in some agricultural decisions, but has limited impact on agricultural practices or outcomes, possibly due to financial constraints, social norms, and women's domestic responsibilities. SHGs need to go beyond provision of information to changing the dynamics around women's participation in agriculture to effectively translate knowledge into practice.",2019.0,Agricultural Economics,"Agricultural Economics (Amsterdam, Netherlands)","K. Raghunathan, Samyuktha Kannan, A. Quisumbing",10.1111/agec.12510,https://www.semanticscholar.org/paper/e6a3270bd1ade22a750e78df63af088c15886add,30.0,35.0,1.0,"['Business', 'Medicine']","[{'category': 'Business', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://europepmc.org/articles/pmc6853198?pdf=render,['JournalArticle'],2019-08-02,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk not effectively mitigated,suggests effective intervention,sustained over time,pessimistic
Incentives and the Diffusion of Agricultural Knowledge: Experimental Evidence from Northern Uganda,"We present results of a randomized evaluation that assesses the effects of different incentives for diffusion of agricultural knowledge by smallholders in northern Uganda. Randomly-selected disseminating farmers (DFs) from a large sample of villages are assigned to one of three experimental arms: (a) training about climate smart agriculture, (b) training plus a material reward for knowledge diffusion, and (c) training plus a reputational gain for knowledge diffusion. We find that leveraging somebody’s reputation (or social recognition) has a positive impact on DFs’ experimentation and diffusion effort. This impact is stronger than that measured in the private material rewards treatment.",2019.0,American Journal of Agricultural Economics,Agricultural & Natural Resource Economics eJournal,"K. Shikuku, J. Pieters, E. Bulte, P. Läderach",10.1093/ajae/aaz010,https://www.semanticscholar.org/paper/3070d9deca1ada7501838f32f2dc3e8515547148,54.0,40.0,2.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1093/ajae/aaz010,,2019-07-01,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests partial intervention,sustained over time,optimistic
Direct and Spillover Effects of Agricultural Technology Adoption Programs: Experimental Evidence from the Dominican Republic,"This paper estimates the impact of an agricultural technology adoption program on agricultural production and income using an experimental approach. The context of analysis is the Program for the Support of Innovation in Agricultural Technology (PATCA II) implemented in the Dominican Republic. The program aimed to increase the agricultural productivity and income of smallholder farmers by encouraging the adoption of a technology. We exploit a two-stage randomized experiment conducted at the geographic and farmer levels to estimate the effects of adopting improved pasture and irrigation technologies. To measure the effectiveness of the program, we combined rich microeconomic data obtained from a comprehensive household survey with administrative data to measure both direct and spillover effects. The sample includes 2,499 farmers, including direct beneficiaries, indirect beneficiaries, controls, and farmers within the social network of direct beneficiaries. We find different patterns of adoption and significant impacts on production-related outcomes for both of the technologies analyzed. The results show adoption of improved pastures increased agricultural income and that the effects intensify over time. In the case of irrigation, treatment had adverse effects on total household income and agricultural production; however, there is evidence of a change in the production portfolio of program beneficiaries from temporary to permanent crops as a function of time of exposure to the technology. Whereas irrigation can be implemented immediately after treatment, income benefits take time to materialize, for instance, as permanent crops reach the initial point of harvest or maturity. These results imply the existence of a dynamic learning-by-doing process. Also, the assessment of indirect or spillover effects did not validate the hypotheses that knowledge spillovers might take place among farmers in close geographical and social proximity to program beneficiaries. The results present evidence that liquidity constraints are critical determinants of technology adoption for smallholder farmers in the Dominican Republic.",2019.0,,,"Julián Aramburu, Lucas Figal Garone, A. Maffioli, L. Salazar, C. López",10.18235/0001742,https://www.semanticscholar.org/paper/80b805e7be86d72e63b815aba61bc3bc9026a18e,117.0,9.0,2.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://www.econstor.eu/bitstream/10419/208162/1/IDB-WP-0971.pdf,['Review'],2019-06-01,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests effective intervention,sustained over time,neutral
Education Spillovers in Farm Productivity: Revisiting the Evidence,"
 This paper exploits the social organization of India to revisit the question of education spillovers in farm productivity. The fact that social interactions mainly occur within castes in rural India provides tools to show that the observed correlation between farm productivity and neighbors’ education is likely to be a spillover effect. In particular, there are no cross-caste and no cross-occupation effects, which underlines that, under specific assumptions, which are stated and explored in the paper, the education of neighbors does not capture the effect of group unobservables. This evidence is complemented by separate estimations by crops, which show results that are consistent with education spillovers. The strategy used in this paper helps understand and interpret previous findings from the literature.",2019.0,World Bank Economic Review,Development Economics: Regional & Country Studies eJournal,Véronique Gille,10.1093/WBER/LHY028,https://www.semanticscholar.org/paper/0be4d61a19d9b4779ab43cce8ad1996b06f3a97d,44.0,1.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://openknowledge.worldbank.org/bitstreams/ca1418c1-2408-5705-91ef-384a0dfae075/download,['Book'],2019-04-01,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk mitigated through networks,suggests partial intervention,sustained over time,neutral
The Secret to Getting Ahead Is Getting Started: Early Impacts of a Rural Development Project,"Interventions in rural development projects vary in their likely time to impact. Some offer rapid payoffs after minimal learning and investment, while others offer larger payoffs but entail delays and may require learning or significant investment of labor and capital. Short-term impacts included reductions in stored grain losses due to improved silos and increase in household savings due to increased participation in savings groups. The least poor are most likely to invest labor and capital in slow-to-accrue payoffs like soil erosion abatement from building conservation structures. Our results suggest that targeting project interventions by asset level can enhance impacts.",2018.0,Sustainability,Sustainability,"Alexandra Peralta, S. Swinton, Songqing Jin",10.3390/SU10082644,https://www.semanticscholar.org/paper/1014da02475db9d534d365b1c21b38c967c1e61c,71.0,1.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,https://www.mdpi.com/2071-1050/10/8/2644/pdf?version=1532687455,,2018-07-27,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests effective intervention,unclear durability,neutral
Adoption of High-Yielding Groundnut Varieties: The Sustainability of a Farmer-Led Multiplication-Dissemination Program in Eastern Uganda,"This study examines the adoption of high-yielding varieties (HYVs) of groundnut by smallholders in eastern Uganda. The primary focus of this work is the analysis of the sustainability of impacts from a regional farmer-led HYV dissemination and multiplication program. Data collected in 2014 is used to determine the lasting impact of the program conducted a decade prior, from 2001 to 2004. The structure of the data, which includes a treatment and 2-part control group, is critical to the identification of project impacts, measured as groundnut land allocation to groundnut HYVs (%). Fractional regression, propensity score matching and instrumental variable techniques are utilized to address potential bias from model specification, selection, and endogeneity. We find that, on average, participating households allocated 21% more of their land in groundnuts to HYVs relative to controls. Diffusion of program benefits through spillover is revealed by statistically significant differences in mean adoption between neighbor and non-neighbor controls, such that benefits are transferred from participants to their neighbors but not to the non-neighbor control group. We also find that, because of seed saving practices, the average yield for HYVs decreased over time to levels below those obtained from landrace varieties. Thus, the program effectively aided in information dissemination and technology transfer within rural communities. However, additional knowledge transfer is critical to the sustainability of food security outcomes among participant farmers.",2018.0,,Sustainability,"J. Jelliffe, B. Bravo‐Ureta, C. Deom, D. Okello",10.3390/SU10051597,https://www.semanticscholar.org/paper/c7af87ee3c953b52ec2badb51eccadabaf8eaffc,103.0,14.0,1.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://www.mdpi.com/2071-1050/10/5/1597/pdf?version=1526464549,,2018-05-16,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests effective intervention,sustained over time,optimistic
As Good as the Networks They Keep? Improving Outcomes through Weak Ties in Rural Uganda,We examine an intervention randomized at the village level in which female farmers invited to a single training session were randomly paired with farmers whom they did not know and encouraged to share new agricultural information throughout the growing season for a recently adopted cash crop. We show that the intervention significantly increased the productivity of all farmers except those who were already in the highest quintile of productivity and that there were significant spillovers in productivity to male farmers.,2018.0,Economic development and cultural change,Economic Development and Cultural Change,"K. Vasilaky, K. Leonard",10.1086/697430,https://www.semanticscholar.org/paper/6cf2845903ddd64b2698076c9fb7edb6a8903cba,76.0,44.0,0.0,"['Business', 'Economics']","[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",True,https://openknowledge.worldbank.org/bitstreams/eee3e7f6-fc76-52e4-bab6-186f0d2b2dff/download,,2018-04-01,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests partial intervention,sustained over time,optimistic
Social Interactions and Spillover Effects in Chinese Family Farming,"Abstract This paper aims to test the effects of social interaction and input spillovers on the agricultural performance of family farms in mixed paddy rice production (organic and conventional farming). Using survey panel data from a Chinese village, we adopt a Spatial Durbin Model (SDM) derived from spatial econometrics to disentangle the social interaction effect from spillover effects and to control for technological heterogeneities. Our analysis reveals a negative social interaction effect indicating that an increase in the yield of neighbouring plots leads to a decrease in the yield of the plot itself. We also find input spillovers. Labour, capital costs, water and organic pesticides have positive spillovers while external nutrients (nitrogen and phosphate) have negative spillover effects. Our study thus calls for a better understanding of social interactions and spillover effects among farmers in the promotion of sustainable family farming.",2018.0,,The Journal of Development Studies,"Huanxiu Guo, S. Marchand",10.1080/00220388.2018.1443206,https://www.semanticscholar.org/paper/effa6c7973fe22ac30329172b2bc7c851dfa105d,56.0,11.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://figshare.com/articles/journal_contribution/Social_Interactions_and_Spillover_Effects_in_Chinese_Family_Farming/5956174/1/files/10668760.pdf,['Review'],2018-03-07,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk not effectively mitigated,suggests partial intervention,sustained over time,pessimistic
Zero-tillage is a proven technology for sustainable wheat intensification in the Eastern Indo-Gangetic Plains: what determines farmer awareness and adoption?,"In India, there is increasing recognition among policy-makers of the largely untapped potential of the Eastern Indo-Gangetic Plains (IGP) for meeting state- and national-level food needs. Zero-tillage (ZT) is a proven technology for enhancing wheat productivity and, hence, food security in the IGP, while reducing production costs – a ‘win-win’ scenario that should support rapid technology scaling even though adoption remains modest to date. In order to inform policies and derive recommendations for a more effective extension strategy, this study investigated determinants of ZT adoption in the Eastern IGP using a random sample of 1000 wheat-growing households from Bihar, stratified by ZT adoption status. We corrected for potential non-exposure bias by using a two-stage estimation procedure that differentiates between factors affecting farmers’ awareness of ZT and those affecting adoption conditional on awareness. Owing to the relatively nascent stage of ZT diffusion in the area, we emphasized the role of information in the adoption process, including social networks, whereby we allowed for endogenous and exogenous network effects. Only 44% of sample households knew about ZT technology, and there was substantial scale bias in favor of larger scale farmers both with respect to awareness and adoption. Both the adoption behavior and characteristics of the respondents’ network members influenced their own awareness and adoption of ZT, particularly among farmers in the smallest landholding tercile. Farmers valued the time-saving potential of ZT, especially under conditions of increasingly unreliable monsoon rains resulting in a delayed rice crop and, consequently, late establishment of wheat which reduces yield. The fact that most farmers accessed ZT via custom-hire services was accounted for in the model, and the importance of proximate service providers confirmed. We conclude that there is need for further awareness-raising campaigns for ZT technology, whereby, apart from mass media, agricultural extension should use contact farmers belonging to different social strata for effective within-village diffusion of messages, especially to the poorer farmers. The social inclusiveness of ZT use can be enhanced by supporting the emergence of more ZT service providers and by developing business models that lower the transaction costs of servicing smaller farms.",2017.0,Food Security,Food Security,"A. Keil, Alwin D’souza, Andrew McDonald",10.1007/s12571-017-0707-x,https://www.semanticscholar.org/paper/3f3e0c298ecca306b2d29edd01120b8781ff0da5,38.0,48.0,3.0,"['Medicine', 'Business']","[{'category': 'Medicine', 'source': 'external'}, {'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,https://link.springer.com/content/pdf/10.1007/s12571-017-0707-x.pdf,['JournalArticle'],2017-07-22,True,True,matches theoretical benchmark,benefits poorest,mixed evidence,risk mitigated through networks,suggests effective intervention,sustained over time,optimistic
What Does Literature Say About the Determinants jig of Adoption of Agricultural Technologies by Smallholders Farmers,"Understanding the determinants of adoption of agricultural technologies is essential in planning and executing technology related programmes for meeting the challenges of food production in developing countries. This study therefore extensively reviewed the various factors influencing adoption of agricultural technology among smallholder farmers. Results of the findings show that changes in technology adoption are associated with changes in the economic situation of the country, financial status of farm households and the net gain from adopting the technology, access to credit, access to information, travel cost, characteristics of the technology, scale of operation of the farmers, income, cultural norms and values, social network and human specific factors. The findings will be useful to technology developers, disseminators, and the end users (farmers). To increase the likelihood of adoption of the modern agricultural technologies by smallholders, policy makers should make credit accessible to farmers without gender discriminations, make information about the technology available via extension services, advice farmers to improve their educational level and carry the end users along while developing the technology.",2017.0,,,Obayelu Ae,10.19080/ARTOAJ.2017.06.555676,https://www.semanticscholar.org/paper/8c3220a8ca49e30448dc88dac36bccd166af199b,53.0,27.0,1.0,['Engineering'],"[{'category': 'Engineering', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://juniperpublishers.com/artoaj/pdf/ARTOAJ.MS.ID.555676.pdf,['Review'],2017-04-21,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk mitigated through networks,suggests effective intervention,sustained over time,optimistic
Effects of farmers’ social networks on knowledge acquisition: lessons from agricultural training in rural Indonesia,"Agricultural information is transferred through social interactions; therefore, ties to agricultural informants and network structures within farmers’ local neighborhoods determine their information-gathering abilities. This paper uses a spatial autoregressive model that takes account of spatial autocorrelation to examine such network connections, including friendship networks and advice networks, upon farmers’ knowledge-gathering abilities during formal agricultural training. We found that peer advice networks are important to support knowledge-gathering activities, while friendship networks are not. Further examination of network structures confirms that farmers who occupy a central position in their local neighborhood networks are found to perform better in learning outcomes to some extent, indicating that local network position is positively related to problem-solving ability in an unknown environment outside their locale.",2017.0,,Journal of Economic Structures,"Ayu Pratiwi, A. Suzuki",10.1186/S40008-017-0069-8,https://www.semanticscholar.org/paper/0eec64f0bb123aff44b4d389bfbc32d25bcc963e,54.0,95.0,3.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",True,https://journalofeconomicstructures.springeropen.com/track/pdf/10.1186/s40008-017-0069-8,,2017-04-12,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests partial intervention,sustained over time,neutral
Knowledge flows and linkage with universities: the vision of Mexican farmers,"This paper is about the linkage between academia and the productive sector in agriculture, focusing on the farmers’ point of view regarding this linkage. It also explores another dimension of knowledge transfer: the links that farmers establish with their peers to share the knowledge they acquire. Two research questions guided this study: (1) What characteristics influence the propensity of a farmer to engage in direct links with researchers? and (2) What characteristics influence the propensity of a farmer to share (transfer) knowledge with other farmers? This paper is based on original micro data obtained from a survey of Mexican farmers in 2011. The Mexican case is interesting for different reasons: it is a large country with large scientific capacities in the agricultural sciences; there is a large number of small farmers living in rural areas—both commercial and subsistence, and agro exports make a contribution to the export structure. Hence, more knowledge flows are needed for the development process. The research questions are approached through a model with a binary dependent variable to analyse the variables that explain the likelihood that a farmer establishes links directly with researchers, and a model with a multinomial distribution in order to observe the determinants of knowledge transfers made by farmers among their peers. The main finding is that training, participation in farmer organisations and the geographical location matter to explain the probability that a farmer establishes links with researchers. Concerning to the propensity of knowledge sharing with other farmers, belonging to organizations that include a variety of agents related to the innovation process and a set of idiosyncratic factors specific to the region (e.g. a more communal type of culture) are relevant for this matter.",2016.0,,Brazilian Journal of Science and Technology,"G. Dutrénit, René Rivera-Huerta, A. Vera-Cruz",10.1186/S40552-016-0027-2,https://www.semanticscholar.org/paper/6a0144443757522d0017c440970dc113bd82aba3,78.0,5.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://bjst-journal.springeropen.com/track/pdf/10.1186/s40552-016-0027-2,['Review'],2016-05-05,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk mitigated through networks,suggests partial intervention,sustained over time,optimistic
