title,abstract,year,venue,journal,authors,doi,url,referenceCount,citationCount,influentialCitationCount,fieldsOfStudy,s2FieldsOfStudy,isOpenAccess,openAccessPdf,publicationTypes,publicationDate
Rural road infrastructure & agricultural production: Evidence from India,,2021.0,,Journal of Development Economics,Yogita Shamdasani,10.1016/J.JDEVECO.2021.102686,https://www.semanticscholar.org/paper/f98bff1671dc51ee1f7044752237fb2f0d5f1c0b,52.0,127.0,3.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Geography', 'source': 's2-fos-model'}]",False,,,2021-09-01
Learning by (virtually) doing: Experimentation and belief updating in smallholder agriculture,,2021.0,,Journal of Economic Behavior and Organization,"E. Tjernström, Travis J. Lybbert, Rachel Frattarola Hernández, J. Correa",10.1016/J.JEBO.2021.03.001,https://www.semanticscholar.org/paper/35bfdf953cadfe052f976c22259c96dca87c4e0a,39.0,25.0,3.0,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,,2021-09-01
Seeking the treated: The impact of mobile extension on farmer information exchange in India,,2021.0,,Journal of Development Economics,A. Fernando,10.1016/J.JDEVECO.2021.102713,https://www.semanticscholar.org/paper/b7270b58ea06aa6381eedc176de81d5bb73f7e3a,28.0,18.0,1.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",False,,,2021-08-26
Social Learning and Policy Adoption: Evidence from an Education Reform in Brazil,"Abstract We investigate the role of social learning among local government officials in fostering the diffusion of an education programme presented with a reasonable degree of technological and political uncertainty about its outcomes, the schooling decentralisation reform in the state of São Paulo, Brazil. We consider different natures of the exchange of information on the newly adopted tasks, and assess which aspects of the returns to programme participation were most valued by officials in their learning process. Specifically, we attempt to determine the extent to which adherence to the reform resulted from electoral motivations rather than from concerns regarding the quality of education. We present evidence that social learning constitutes a key factor to policy implementation, and we find that mayors that could run for re-election became more likely to support the programme upon receiving good news about its electoral returns. By contrast, information on experiences that were successful in improving the quality of education appears to have been valued and effectively put to use only by term-limited officials or when conveyed by copartisan neighbours.",2021.0,Journal of Development Studies,The Journal of Development Studies,"T. Gemignani, Ricardo A. Madeira",10.1080/00220388.2021.1965128,https://www.semanticscholar.org/paper/6302cf483bb52b22e9c2ee35764d9c289c9c4968,32.0,0.0,0.0,['Political Science'],"[{'category': 'Political Science', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}]",True,https://figshare.com/articles/journal_contribution/Social_Learning_and_Policy_Adoption_Evidence_from_an_Education_Reform_in_Brazil/16417267/1/files/30420451.pdf,,2021-08-23
Translating Information into Action: A Public Health Experiment in Bangladesh,,2021.0,AEA Randomized Controlled Trials,AEA Randomized Controlled Trials,Reshmaan N. Hussam,10.1257/rct.8074-1.0,https://www.semanticscholar.org/paper/db927b2c36e66f8350861dca32f2ae65ba41965d,55.0,2.0,0.0,,"[{'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}]",False,,['Review'],2021-08-15
How Does Perceived Value Affect Kiwi Growers' Sustainable Application of Green Agricultural Technology in China? - Moderating Effect Analysis Based on Government Support,"
 Unsafe use of pesticides and fertilizers is a concern in rural areas of China, resulting in serious threats to environment and the quality of agricultural products. Many works have studied the factors influencing the adoption of green agricultural technology by farmers. However, few studies have explored the factors that lead to a farmer’s sustainable use of green agricultural technology. Based on a survey of 1,138 kiwi growers in Shaanxi province of China, this paper builds a theoretical model to look at this issue and conducts a series of empirical exercises to gain insight into the effects of perceived value, government support and their interaction on kiwi growers' sustainable application of green agricultural technology. We find that (1) Perceived monetary and non-monetary benefits positively affect the sustainable application of green agricultural technology by farmers while perceived monetary and non-monetary risks affect it negatively. In addition, such influence would be enhanced with an increase in the intensity of perceived value and vary with the type of green agricultural technology. (2) Both agricultural extension service and ecological subsidy, as two main forms of government support, have a positive and significant effect on the sustainable application of green agricultural technology. (3) There is also a role for the interaction effects between the influence of perceived value and government support on the sustainable application of green agricultural technology. Therefore, it has been proposed in this paper that the government should expand relevant publicity, education, training, and guidance, offer compensatory incentives for producers, and adopt guiding methods corresponding to different green agricultural technology, so as to promote the sustainable application of green production modes by farmers.",2021.0,,,"W. Xiang, Jianzhong Gao",10.21203/rs.3.rs-625966/v1,https://www.semanticscholar.org/paper/63ea5970be27cbfa2d10f13b84772f6b79237e2b,70.0,0.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://doi.org/10.21203/rs.3.rs-625966/v1,['Review'],2021-08-10
"Review for ""Participation in farmer organizations and adoption of farming technologies among rice farmers in Ghana""",,2021.0,International Journal of Social Economics,International Journal of Social Economics,"K. Addai, O. Temoso, John N. Ng’ombe",10.1108/ijse-06-2021-0337/v3/review1,https://www.semanticscholar.org/paper/8b55a3f37e4972121440eee48aef64b970917228,44.0,1.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['Review'],2021-07-31
Evolution of Learning in Technology Adoption: The case of the U.S. Soybean Seed Industry,"This paper examines how the evolution of learning affects technology adoption. We use a sequential adoption model that accounts for differences between forward-looking adopters, who consider future impacts of their learning, and myopic adopters, who only consider past learning. We apply the analysis to three panels of U.S. soybean farmers representing different stages of the genetically modified (GM) seed technology diffusion path. We show that uncertainty is considerably reduced over time due to increased learning efficiency. Our results indicate that a forward-looking model fits the early adopters and early majority stages better, while both models perform equally well in the laggard stage. JEL classification D83, Q31, Q33, Q16",2021.0,bioRxiv,bioRxiv,"C. Ilin, Guanming Shi",10.1101/2021.07.22.453433,https://www.semanticscholar.org/paper/e11aa89041e875fa7901630623751cc8b9930d39,26.0,0.0,0.0,['Biology'],"[{'category': 'Biology', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,https://doi.org/10.1101/2021.07.22.453433,,2021-07-22
"Bounded Rationality, Social Capital and Technology Adoption in Family Farming: Evidence from Cocoa-Tree Crops in Ivory Coast","In this paper, we allege that the hypothesis in favor of bounded rationality is a plausible explanation when it comes to better understanding the sluggish pace of adoption of best available tree crop farming techniques in poor small-scale rural communities. Our research builds on data collection and analysis of cocoa farming in Ivory Coast. Firstly, we find that the cognitive scarcity under which smallholder farmers make their decisions, in particular, satisficing behavior and fast and frugal heuristics, outweigh the scarcity of financial and human resources. Secondly, we show that the structure of the environment measured through various dimensions of social capital influences human rationality and decision-making. On the one hand, the greater smallholder farmers’ civic capital (solidarity, reciprocity, trustworthiness, cooperation), the more likely they are to modify their farming practices (p < 0.05) and, more specifically, to exchange information, learn, and eventually revise these practices. On the other hand, the greater the number of organizations the farmers participate in, the greater the probability of modifying their practices (p < 0.01). Information about farming techniques disseminates through weak bridging ties built within agricultural organizations (e.g., cooperatives, extension services) rather than through strong bonding ties between family or diaspora members.",2021.0,Sustainability,Sustainability,"Francesco Cordaro, Alain Desdoigts",10.3390/SU13137483,https://www.semanticscholar.org/paper/cd62069bff5206c9fa136fef8e078e9f92acbc89,53.0,14.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",True,https://www.mdpi.com/2071-1050/13/13/7483/pdf,,2021-07-05
Experimental Evidence on Adoption and Impact of the System of Rice Intensification,,2021.0,American Journal of Agricultural Economics,American Journal of Agricultural Economics,"C. Barrett, A. Islam, A. Malek, Debayan Pakrashi, Ummul Ruthbah",10.1111/AJAE.12245,https://www.semanticscholar.org/paper/9e1170ceb9f4382e86d674f2a694198af0d6f789,71.0,24.0,6.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://ageconsearch.umn.edu/record/309950/files/WP%202021-01%20Experimental%20Evidence%20on%20Adoption%20-%20Barrett.pdf,,2021-07-04
The S-curve: Understanding the Dynamics of Worldwide Financial Liberalization,,2021.0,"Federal Reserve Bank of Atlanta, Working Papers","Federal Reserve Bank of Atlanta, Working Papers","Nan Li, C. Papageorgiou, Tong Xu, T. Zha",10.3386/W28994,https://www.semanticscholar.org/paper/e9cab7e8dce66a842615187cb2d493480c3b9951,56.0,2.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://doi.org/10.3386/w28994,,2021-07-01
Primary education and its impact on literacy rate: A division wise comparative study of Bangladesh,"This study investigates the impact of a number of educational institutions and students per teacher on the literacy rate. Data of 489 Upazilasrelating to the dependent (literacy rate) and independent variables (no. of educational institutions and students per teacher of different types of primary and equivalent educational institutions) of 8 Divisions were collected from District Statistics 2011 of Bangladesh Bureau of Statistics. The Ordinary Least Square (OLS) method is used in this study. This research found that a number of government primary schools had a significant positive relationship with the literacy rate in Barishal, Chittagong, Khulna, and Mymensingh Divisions.",2021.0,,International Journal of Research In Business and Social Science,"Sujan Chandra Paul, Arif Hosen, Jyotirmay Biswas, S. Hossain",10.20525/IJRBS.V10I4.1186,https://www.semanticscholar.org/paper/28696bdd4f853025061a7d9cc34ae475bd3aa1b9,31.0,1.0,0.0,['Sociology'],"[{'category': 'Sociology', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://www.ssbfnet.com/ojs/index.php/ijrbs/article/download/1186/917,,2021-06-14
Towards an Understanding of the Behavioral Intentions and Actual Use of Smart Products among German Farmers,"Innovative technologies in the context of smart farming are expected to play a significant role in the adaptation of the agricultural sector to climate change and sustainable agriculture. However, the adoption of smart farming solutions, in this case so-called smart products, depends indispensably on the acceptance of farmers. For this reason, it is important to develop an understanding of what determinants are decisive for farmers in the adoption of these technologies. In order to address this research gap, farmers in Germany were surveyed via a large-scale online survey in 2020 (n = 523). Based on an extended version of the Unified Theory of Acceptance and Use of Technology, a Partial Least Squares (PLS) analysis was performed. The results indicate that hedonic motivation significantly influences farmers’ behavioral intention to use smart products. In addition, behavioral intention is affected by social determinants and the personal performance expectations of smart products. Trust, as well as facilitating conditions, also has an impact on behavioral intention. Furthermore, facilitating conditions are an important determinant of the actual use behavior. In addition, use behavior is influenced by behavioral intention. It was further found that technology readiness plays a significant role in the adoption of smart products. Moderating effects of age, work experience, and farm size were identified that influence farmers’ willingness to use smart products. The study holds important managerial implications for technology companies in the field of smart farming and can help develop approaches for tailored technical solutions that meet farmers’ needs.",2021.0,Sustainability,Sustainability,"Sirkka Schukat, H. Heise",10.3390/SU13126666,https://www.semanticscholar.org/paper/87740e8a738b6f1a90956a17708914a44c844acb,120.0,35.0,3.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://www.mdpi.com/2071-1050/13/12/6666/pdf?version=1623407310,['Review'],2021-06-11
The role of experiential learning in the adoption of best land management practices,,2021.0,,Land Use Policy,"Murat Okumah, J. Martin-Ortega, P. Chapman, P. Novo, R. Cassidy, Christopher Lyon, A. Higgins, D. Doody",10.1016/J.LANDUSEPOL.2021.105397,https://www.semanticscholar.org/paper/0da1cd1365ba38322b72f539a551bb115f3a416c,73.0,13.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Education', 'source': 's2-fos-model'}]",True,https://eprints.whiterose.ac.uk/171910/3/Revised__manuscript__24-09-20%20%28002%29.pdf,,2021-06-01
Neighborhood impacts on household participation in payments for ecosystem services programs in a Chinese nature reserve: A methodological exploration,,2021.0,Journal of Geographical Science,Journal of Geographical Sciences,"Huijie Zhang, Li An, R. Bilsborrow, Y. Chun, Shuang Yang, Jie Dai",10.1007/s11442-021-1877-1,https://www.semanticscholar.org/paper/a8be6d20e04242b52e7368a5c4f1f6afa8f62766,96.0,3.0,0.0,,"[{'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",True,http://www.geogsci.com/CN/article/downloadArticleFile.do?attachType=PDF&id=49799,,2021-06-01
Do cooperatives participation and technology adoption improve farmers' welfare in China? A joint analysis accounting for selection bias,,2021.0,,Journal of Integrative Agriculture,"Dan Yang, Huixian Zhang, Zimin Liu, Qiao Zeng",10.1016/S2095-3119(20)63325-1,https://www.semanticscholar.org/paper/d7997d188ac864ed5cd4e1cec3322fe01c325b7a,30.0,24.0,1.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",True,https://doi.org/10.1016/s2095-3119(20)63325-1,['Review'],2021-06-01
Mobilizing P2P Diffusion for New Agricultural Practices: Experimental Evidence from Bangladesh,,2021.0,World Bank Economic Review,The World Bank Economic Review,"M. Fafchamps, A. Islam, A. Malek, Debayan Pakrashi",10.1093/WBER/LHAB009,https://www.semanticscholar.org/paper/343763d6c012fd96a0f326921787d013b30fb3fa,45.0,9.0,1.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://escholarship.org/content/qt6m94v8b6/qt6m94v8b6.pdf?t=ppqv3m,['Book'],2021-05-11
"The role of rubber farming in household dietary diversity in the upper Mekong region, Southwest China",,2021.0,Food and Energy Security,Food and Energy Security,"Yajie Luo, S. Min, J. Bai",10.1002/FES3.285,https://www.semanticscholar.org/paper/00c3f0d8ac5fc47e2fd466968d1efbecc54628b1,78.0,10.0,0.0,['Geography'],"[{'category': 'Geography', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['Review'],2021-05-04
The Growing Importance of Decision-Making on the Job,,2021.0,Social Science Research Network,SSRN Electronic Journal,D. Deming,10.3386/W28733,https://www.semanticscholar.org/paper/4e4d0f09c051f45aa7219d7a826cd4751984c0d2,110.0,36.0,1.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Business', 'source': 's2-fos-model'}]",True,https://doi.org/10.3386/w28733,,2021-05-03
After the project is over: Measuring longer-term impacts of a food safety intervention in Senegal,,2021.0,World Development,World Development,"Laura Leavens, Jonathan Bauchet, Jacob Ricker-Gilbert",10.1016/J.WORLDDEV.2021.105414,https://www.semanticscholar.org/paper/5cdcdd33086869468989dff1ebe15d4cbada7c91,71.0,4.0,0.0,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",True,https://www.sciencedirect.com/science/article/am/pii/S0305750X21000267,,2021-05-01
"Farmers’ Adoption of System of Rice Intensification in Chanchaga Local Government Area of Niger State, Nigeria",,2021.0,,Nigerian Journal of Basic and Applied Sciences,"T. Aliyu, O. G. Bello, L. K. Olatinwo, K. Omotesho, L. Adefalu, I. Garba",10.4314/NJBAS.V28I2.7,https://www.semanticscholar.org/paper/21b70451337978fe991e740586b9c3f21e5c975c,33.0,2.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",True,https://doi.org/10.4314/njbas.v28i2.7,,2021-04-26
Transforming Agrifood Value Chains,,2021.0,What's Cooking: Digital Transformation of the Agrifood System,What's Cooking: Digital Transformation of the Agrifood System,"K. Schroeder, Julian A. Lampietti, Ghada Elabed",10.1596/978-1-4648-1657-4_ch3,https://www.semanticscholar.org/paper/9003e5e1ab88556dc39e7591bbf7e0c0a07b68c7,124.0,0.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",False,,,2021-04-20
Smart Products in Livestock Farming—An Empirical Study on the Attitudes of German Farmers,"Simple Summary In the last few years, the fourth industrial revolution has found its way into agriculture. Under the heading of smart farming, various so-called smart products are offered that can positively influence the daily work of farmers as well as animal welfare. These smart products can record data from the farming operation, extract essential information, and in some cases even make decisions autonomously. Particularly in Germany, where social criticism of intensive livestock farming has been raised, such smart products could make a significant contribution to improving animal welfare. However, a key prerequisite is the acceptance of the users, who are typically the livestock farmers themselves. There is so far hardly any knowledge about farmers’ attitudes towards smart products in livestock farming. In this study, the attitudes of German livestock farmers towards smart products are evaluated by categorizing them into groups by a factor analysis and a cluster analysis. Based on the analysis of an online questionnaire, in which German livestock farmers (n = 422) participated, four clusters could be derived. The main distinguishing characteristics of the clusters are the influence of the social environment, the expected effort for implementation, the general trust in smart products, and the technology readiness of the farms. As a result, this study provides valuable insights, for technology providers of smart products for livestock farming, as well as for policymakers. Abstract In recent years, the fourth industrial revolution has found its way into agriculture. Under the term smart farming, various so-called smart products are offered that may positively influence both the daily work of farmers and animal welfare. These smart products can collect data from the farm, extract important information, and in some cases even make decisions independently. Particularly in Germany, where intensive livestock farming is criticized by society, such smart products could make a significant contribution to improving animal welfare. However, an important prerequisite is the acceptance of the users, who are usually the livestock farmers themselves. So far, there is little knowledge about farmers’ attitudes towards smart products in livestock production. In this study, a factor analysis and a cluster analysis are conducted to evaluate the attitudes of German livestock farmers towards smart products. Based on the analysis of an online questionnaire in which German livestock farmers (n = 422) participated, four clusters could be derived. The main distinguishing characteristics of the clusters are the influence of the social environment, the expected effort for implementation, the general trust in smart products, and the technology readiness of the farms. As a result, this study provides valuable insights for technology providers of smart products for livestock farming as well as for policy makers.",2021.0,Animals,Animals : an Open Access Journal from MDPI,"Sirkka Schukat, H. Heise",10.3390/ani11041055,https://www.semanticscholar.org/paper/87c0f1a6951c7871907ebc5ba55ec3a4db4a92f8,90.0,18.0,4.0,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",True,https://www.mdpi.com/2076-2615/11/4/1055/pdf?version=1617941601,['JournalArticle'],2021-04-01
Contract farming as partial insurance,,2021.0,,World Development,"Marc F. Bellemare, Y. Lee, L. Novak",10.1016/J.WORLDDEV.2020.105274,https://www.semanticscholar.org/paper/ef49cc26a0fb9d8f0e8b3d174039548f7dfe7352,87.0,45.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",False,,,2021-04-01
Impact of Agricultural Insurance on the Productivity of the Agricultural Sector In Nigeria,,2021.0,Advances in Multidisciplinary & Scientific Research Journal Publication,Advances in Multidisciplinary and scientific Research Journal Publication,"K. Banjo, F. Oloyede, H.S Olufawo, K. Ogunlami, T. S. Saka, O. Bamgbose, F.G. Tairu",10.22624/aims/v8n1p3,https://www.semanticscholar.org/paper/a88dadcda259019fbd796889b5848d947ffb6b99,12.0,0.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://doi.org/10.22624/aims/v8n1p3,['Review'],2021-03-30
Beyond the Lexical Sense of Online Reviews: The Role of Emoticons and Consumer Experience,,2021.0,Interacting with computers,Interact. Comput.,"Emmanouela E. Manganari, Evangelos Mourelatos, Efthalia Dimara",10.1093/IWC/IWAB004,https://www.semanticscholar.org/paper/42961357143bce90f7fe8ef63f67ef6c75e020a2,68.0,5.0,0.0,"['Computer Science', 'Psychology']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Psychology', 'source': 'external'}, {'category': 'Business', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]",False,,"['JournalArticle', 'Review']",2021-03-11
Firm-Level Technology Adoption in Vietnam,"This paper describes the results of a new firm survey to measure technology use and adoption implemented prior to the COVID-19 pandemic in Vietnam. It analyzes the use and adoption of technology among Vietnamese firms and identifies some of the key barriers to adoption and diffusion. The analysis offers new and important stylized facts on firm-level use of technologies. First, although access to the internet is almost universal in Vietnam, firms had low digital readiness to face the COVID-19 pandemic; and the share of establishments with their own website, social media, and cloud computing is still small. Second, the use of Industry 4.0 technologies is incipient. Third, the technology gap with the use of frontier technologies in some general business functions, such as quality control, production planning, sales, and sourcing and procurement, is large. Fourth, the manufacturing sector faces the largest technological gap, larger than services and agricultural firms. The analysis of the main barriers and drivers to technology adoption and use shows the importance of good management quality for technology adoption, and that there is a technology premium associated with exporting activities. Finally, the analysis also shows that firms are largely unaware of the available public policy support for technology upgrading.",2021.0,,Research Papers in Economics,"X. Cirera, D. Comín, Marcio Cruz, Kyung Min Lee, A. Martins-Neto",10.1596/1813-9450-9567,https://www.semanticscholar.org/paper/01193c21f9919b7d09ffb9951b0734cbc0fc0442,33.0,25.0,3.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Business', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",True,https://openknowledge.worldbank.org/bitstreams/fde04db9-31ec-5162-aa54-81e33a350d8a/download,['Review'],2021-03-08
Firm-Level Technology Adoption in the State of Ceara in Brazil,,2021.0,Policy Research Working Papers,Policy Research Working Papers,"X. Cirera, D. Comín, Marcio Cruz, Kyung Min Lee, A. Martins-Neto",10.1596/1813-9450-9568,https://www.semanticscholar.org/paper/00fa0d10b7476d8f45c9144ee04de408fb17306b,33.0,6.0,2.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Engineering', 'source': 's2-fos-model'}, {'category': 'Business', 'source': 's2-fos-model'}]",True,https://openknowledge.worldbank.org/bitstreams/c8f28d3a-9c90-56c9-b116-965658549b75/download,,2021-03-08
Using an Artificial Neural Networks Experiment to Assess the Links among Financial Development and Growth in Agriculture,"Financial development, productivity, and growth are interconnected, but the direction of causality remains unclear. The relevance of these linkages is likely different for developing and developed economies, yet comparative cross-country studies are scant. The paper analyses the relationship among credit access, output and productivity in the agricultural sector for a large set of countries, over the period 2000–2012, using an Artificial Neural Networks approach. Empirical findings show that these three variables influence each other reciprocally, although marked differences exist among groups of countries. The role of credit access is more prominent for the OECD countries and less important for countries with a lower level of economic de-elopement. Our analysis allows us to highlight the specific effects of credit in stimulating the development of the agricultural sector: in developing countries, credit access significantly affects production, whereas in developed countries, it also has an impact on productivity.",2021.0,Sustainability,Sustainability,"Cosimo Magazzino, M. Mele, F. Santeramo",10.3390/SU13052828,https://www.semanticscholar.org/paper/1e95c3baa4532a8f3bbefd4372da3a171203b0d7,72.0,41.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",True,https://www.mdpi.com/2071-1050/13/5/2828/pdf?version=1614947582,,2021-03-05
Peer effects in pension decision-making: evidence from China's new rural pension scheme,,2021.0,,Labour Economics,"Chuanmin Zhao, X. Qu",10.1016/J.LABECO.2021.101978,https://www.semanticscholar.org/paper/4c66243233b96fede4c8eaa7196e85d80e9cf500,59.0,14.0,2.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['Review'],2021-03-05
It takes two: Experimental evidence on the determinants of technology diffusion,,2021.0,Journal of Development Economics,Journal of Development Economics,"Morgan Hardy, J. Mccasland",10.1016/J.JDEVECO.2020.102600,https://www.semanticscholar.org/paper/2e57d3bea0a70ce341c57d02b25088238b06284d,48.0,23.0,1.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://doi.org/10.1016/j.jdeveco.2020.102600,,2021-03-01
"Adaptation, spatial effects, and targeting: Evidence from Africa and Asia",,2021.0,,World Development,"K. Lim, Bruno Wichmann, M. Luckert",10.1016/j.worlddev.2020.105230,https://www.semanticscholar.org/paper/b0eb557192f56f662d044df28a94343e3fce42bb,123.0,7.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Geography', 'source': 's2-fos-model'}]",False,,,2021-03-01
Exploring the willingness to adopt rapid diagnostic tests to improve antimicrobial medicine use amongst Tanzanian livestock farmers,,2021.0,International Journal of Technology Management and Sustainable Development,International Journal of Technology Management & Sustainable Development,"V. Mkenda, H. Buller, A. Bruce",10.1386/tmsd_00032_1,https://www.semanticscholar.org/paper/ff5d849bc94982f7ac1ccb64be8c9ba40bfabc0e,26.0,0.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,https://www.pure.ed.ac.uk/ws/files/209470588/MkendaEtalIJTMSD2021ExploringTheWillingnessToAdopt.pdf,['Review'],2021-03-01
Information Diffusion and the Role of Central Figures: Experimental Evidence of Network-based Agricultural Extension in Sri Lanka,,2021.0,,,"B. Abeysinghe, Samanmalee Amarawansha, Takahiro Ito, S. Kaneko",10.15027/50753,https://www.semanticscholar.org/paper/0475fc0b93566f2449652a083b9bd43bdbdb60c1,33.0,0.0,0.0,['Geography'],"[{'category': 'Geography', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",False,,,2021-03-01
